PERMIT NUMBER,OWNER NAME,OPERATING NAME,STREET,CITY,STATE,ZIP,COUNTY
CT-W-21013,HIDDEN BREEZE FARM LLC,HAWK RIDGE WINERY,28 PLUNGIS RD,WATERTOWN,CT,6795,
CT-W-21014,"NORDIC MOON, LLC",NORDIC MOON MEADERY,5 INDUSTRIAL DR STE 12,ELLINGTON,CT,6029,TOLLAND
CT-W-21015,STAFFORD CIDERY LLC,,68 MAIN ST,STAFFORD SPRINGS,CT,6076,USA
CT-W-21016,"HEARTSTONE FARM & WINERY, LLC",,468 ROUTE 87 RTE,COLUMBIA,CT,6237,TOLLAND
CT-W-21017,KIRO BESPOKE LLC,SPOKE AND SPY CIDERWORKS,180 JOHNSON ST,MIDDLETOWN,CT,6457,MIDDLESEX
CT-W-21018,FAWN BROOK LLC,CHATEAU LE' GARI',303 S MAIN ST,MARLBOROUGH,CT,6447,HARTFORD
CT-W-21019,ROSE VINEYARDS LLC,,33 BRANFORD RD,NORTH BRANFORD,CT,6471,NEW HAVEN
CT-W-21020,"IANNUCCI SPIRITS, LLC",,118 QUINNIPIAC AVE,NORTH HAVEN,CT,6473,UNITED STATES
CT-W-21021,GLENN'S WINE LLC,GLENN'S WINE,855 HORSE HILL RD,WESTBROOK,CT,6498,MIDDLESEX
CT-W-21022,"ARROWHEAD ACRES, LLC",,519 POND RD,NORTH FRANKLIN,CT,6254,NEW LONDON
CT-W-21023,"BLUE HERON VINEYARD AT FOSTER FARM, LLC",,90 FOSTER ST,SOUTH WINDSOR,CT,6074,HARTFORD
CT-W-21024,PH PRODUCTION CT LLC,R DEE WINERY,119 POST RD,ENFIELD,CT,6082,HARTFORD
CT-W-21026,"BARRETTS LEGACY MEAD, LLC",,118 W MAIN ST,BALTIC,CT,6330,NEW LONDON
CT-W-21029,"MUSTO WINE GRAPE COMPANY, LLC",CAPITAL WINERY,185 MAXIM RD,HARTFORD,CT,6114,HARTFORD
CT-W-21030,CHERRY BROOK FARM & VINEYARD LLC,CHERRY BROOK FARM & VINEYARD,604 CHERRY BROOK RD,CANTON,CT,6019,
CT-W-21031,"TREE HOUSE BREWING COMPANY, INC.",,54 JOY RD,WOODSTOCK,CT,6281,WINDHAM
CT-W-21032,WORTHINGTON VINEYARDS LLC,WORTHINGTON VINEYARDS,359 MOUNTAIN RD,SOMERS,CT,6071,TOLLAND
CT-W-21033,MOOSE HILL CIDER LLC,,124 MOOSE HILL RD,OXFORD,CT,6478,NEW HAVEN
CT-W-21034,BEE MOUNTAIN VINEYARDS LLC,BEE MOUNTAIN VINEYARDS,146 SOUTH RD,NEW HARTFORD,CT,6057,LITCHFIELD
CT-W-21035,"AQUILA'S NEST VINEYARDS, LLC",,56 POLE BRIDGE RD,SANDY HOOK,CT,6482,FAIRFIELD
CT-W-21036,REVERIE BREWING COMPANY LLC,REVERIE BREWING COMPANY,57 B CHURCH HILL ROAD,NEWTOWN,CT,6470,FAIRFIELD
CT-W-21037,"ALA-BRI ACRES FARM, LLC.",A TASTE OF INDEPENDENCE,139 WEST TOWN ST,LEBANON,CT,6249,NEW LONDON
CT-W-21038,"STAPPA VINEYARD, LLC",STAPPA VINEYARD,403 DERBY AVE,ORANGE,CT,6477,
CT-W-21039,"KIRBY MILL WINERY, LLC",KIRBY MILL WINERY,114 MANSFIELD HOLLOW RD,MANSFIELD CENTER,CT,6250,TOLLAND
CT-W-21040,CONNECTICUT VALLEY BREWING COMPANY LLC,CONNECTICUT VALLEY BREWING COMPANY,765 SULLIVAN AVE,SOUTH WINDSOR,CT,6074,HARTFORD
CT-W-21041,BERGEN HOUSE LLC,BERGEN HOUSE,725 MAIN ST UNIT 27,MIDDLETOWN,CT,6457,MIDDLESEX
CT-W-21042,CHESTNUT HILL VINEYARDS INC.,HAIGHT-BROWN VINEYARD,29 CHESTNUT HILL ROAD,LITCHFIELD,CT,6759,
CT-W-21043,POWDER HOLLOW BREWERY LLC,,504 HAZARD AVE,ENFIELD,CT,6082,
CT-W-21044,"SMALL BATCH CELLARS, LLC",,37 NETTLETON AVE,NORTH HAVEN,CT,6473,NEW HAVEN
CT-W-21045,BUSHY HILL CIDERY LLC,,29 BUSHY HILL RD,GRANBY,CT,6035,
CT-W-21046,KINGDOM OF THE HAWK LLC,KINGDOM OF THE HAWK,113 PENDLETON HILL RD,NORTH STONINGTON,CT,6359,NEW LONDON
CT-W-21047,NORTHEAST WINEMAKING LLC,NORTHEAST WINEMAKING,10 ROBERT JACKSON WAY BLDG EAST,PLAINVILLE,CT,6062,HARTFORD
CT-W-21048,"MS. BEER HAVEN, LLC",,622 PENDLETON HILL RD,NORTH STONINGTON,CT,6359,NEW LONDON
CT-W-21049,K-BEST USA TRADING INC,WFC VINEYARD AT FRANKLIN,933 ROUTE 32 RTE,NORTH FRANKLIN,CT,6254,
CT-W-21050,"ARMADA BREWING, LLC",,190 RIVER ST,NEW HAVEN,CT,6513,NEW HAVEN
CT-W-21051,BREWBURY LLC,,1383 WEST ST,MIDDLEBURY,CT,6762,NEW HAVEN
CT-W-21052,"LOST OAK VINEYARDS, LLC",LOST OAK VINEYARDS,78 BENDER RD,LEBANON,CT,6249,WINDHAM COUNTY
CT-W-21053,ROGERS ORCHARDS CIDERY LLC,LONG VIEW CIDERHOUSE,341 MINE HOLLOW RD,SOUTHINGTON,CT,6489,HARTFORD
CT-W-21054,"PASSIONFRUIT ESTATE, LLC","PASSIONFRUIT ESTATE, LLC",40 TAUGWONK SPUR RD UNIT 30 & 31,STONINGTON,CT,6378,NEW LONDON
CT-W-21055,"TRANQUILLITY ESTATE, LLC",TRANQUILLITY VINEYARD,211 TRANQUILITY RD,MIDDLEBURY,CT,6762,NEW HAVEN
CT-W-25,HAROLD W. MINER,B.F. CLYDE'S CIDER MILL,129 N STONINGTON RD,MYSTIC,CT,6355,NEW LONDON
CT-W-26,"SHARPE HILL VINEYARD, INC.",,108 WADE RD,POMFRET,CT,6258,WINDHAM
CT-W-28,HOPKINS VINEYARD LLC,HOPKINS VINEYARD,25 HOPKINS RD,WARREN,CT,6777,LITCHFIELD
CT-W-30,JERRAM WINERY LLC,JERRAM WINERY,535 TOWN HILL RD,NEW HARTFORD,CT,6057,LITCHFIELD
CT-W-31,"LAND OF NOD, LLC",,99 LOWER RD,EAST CANAAN,CT,6024,LITCHFIELD
CT-W-34,"EDWARDS WINES, LLC",JONATHAN EDWARDS WINERY,74 CHESTER MAIN ST,NORTH STONINGTON,CT,6359,NEW LONDON
CT-W-35,"PRIAM VINEYARDS, LLC",PRIAM VINEYARDS,11 SHAILOR HILL RD,COLCHESTER,CT,6415,NEW LONDON
CT-W-37,"TAYLOR BROOKE FARM, LLC",TAYLOR BROOKE WINERY,848 ROUTE 171,WOODSTOCK,CT,6281,WINDHAM
CT-W-38,HOGANS HARD CIDER LLC,HOGANS CIDER MILL,522 SPIELMAN HWY,BURLINGTON,CT,6013,HARTFORD
CT-W-39,"GOUVEIA VINEYARDS, LLC",GOUVEIA VINEYARDS,1339 WHIRLWIND HILL RD,WALLINGFORD,CT,6492,NEW HAVEN
CT-W-40,JONES FAMILY FARMS WINERY L.L.C.,JONES FAMILY FARMS WINERY,65 EAGLE DR,SHELTON,CT,6484,FAIRFIELD
DC-W-21001,BASQUE BAR LLC,BRIGHTWOOD BRANDY,711 KENNEDY ST NW,WASHINGTON,DC,20011,
DC-W-21002,"FARMERS & DISTILLERS DC, LLC",,600 NW MASSACHUSETTS AVE,WASHINGTON,DC,20001,
DC-W-21003,"DC WINERY, LLC",DISTRICT WINERY,385 WATER ST SE,WASHINGTON,DC,20003,DC
DC-W-21004,"DISTRICT CIDER COMPANY, INC.",DISTRICT CIDER,2406 -2408 T ST NE,WASHINGTON,DC,20002,
DC-W-21005,WITH MALUS AFORETHOUGHT LLC,CAPITOL CIDER HOUSE,3930 GEORGIA AVE NW,WASHINGTON,DC,20011,
DC-W-21006,"VIX SANGRIA BY TOPAZ VINEYARDS, LLC LLC",VIX SANGRIA BY TOPAZ VINEYARDS,3811 5TH ST NW,WASHINGTON,DC,20011,PETWORTH
DC-W-21007,"CITY WINERY DC, LLC",,1350 OKIE ST NE,WASHINGTON,DC,20002,
DC-W-21008,M AND A HOSPITALITY LLC,CORK WINE BAR & MARKET,1805 14TH ST NW,WASHINGTON,DC,20005,DISTRICT OF COLUMBIA
DC-W-21010,ANXO LOGISTICS LLC,ANXO,5419 1ST ST NW,WASHINGTON,DC,20011,DISTRICT OF COLUMBIA
DC-W-21011,ATLAS HALF STREET LLC,ATLAS BREW WORKS,1201 HALF ST SE STE 120,WASHINGTON,DC,20003,
DE-W-15000,"PIZZADILI PARTNERS, LLC",PIZZADILI WINERY,1683 PEACH BASKET RD,FELTON,DE,19943,KENT
DE-W-15001,"NASSAU VALLEY VINEYARDS, L.P., BARTRUST, GP",NASSAU VALLEY VINEYARDS,32165 WINERY WAY,LEWES,DE,19958,SUSSEX
DE-W-15002,"HARVEST RIDGE WINERY, LLC",HARVEST RIDGE WINERY,447 WESTVILLE RD,MARYDEL,DE,19964,KENT
DE-W-21001,"WINE WORX, LLC",SALTED VINES VINEYARD & WINERY,32512 BLACKWATER RD,FRANKFORD,DE,19945,SUSSEX
DE-W-21003,"DELAWARE MEAD COMPANY, LLC",LIQUID ALCHEMY BEVERAGES,28 BROOKSIDE DR,WILMINGTON,DE,19804,
DE-W-21004,DOGFISH HEAD LLC,DOGFISH HEAD,320 REHOBOTH AVE,REHOBOTH BEACH,DE,19971,SUSSEX
DE-W-21005,TBHM LLC,THE BRIMMING HORN MEADERY,106 SPRING ST,SEAFORD,DE,19973,USA
DE-W-21006,"DOGFISH HEAD CRAFT BREWERY, LLC",,6 CANNERY VILLAGE CTR,MILTON,DE,19968,SUSSEX
DE-W-21007,"WILMINGTON BREW WORKS, LLC",WILMINGTON BREW WORKS,3129 MILLER RD,WILMINGTON,DE,19802,NEW CASTLE
DE-W-21009,TWIN BRANCHES LLC,TWIN BRANCH WINERY,14756 TWIN BRANCH RD,MILTON,DE,19968,SUSSEX
DE-W-21010,TERRANCE R HESTER,HESTER WINERY,447 GEORGIANA DR,MIDDLETOWN,DE,19709,
DE-W-21011,"JAKL BEER WORKS, LLC",JAKL BEER WORKS,128 PATRIOT DR UNIT 11 AND 12,MIDDLETOWN,DE,19709,NEW CASTLE
DE-W-21012,(WTF) WHAT TO FERMENT MEADERY LLC,,27 S WALNUT ST UNIT 101,MILFORD,DE,19963,SUSSEX
FL-W-1,"SEAVIN, INC.",SAN SEBASTIAN WINERY,157 KING ST,ST AUGUSTINE,FL,32084,SAINT JOHNS
FL-W-15000,"BARTOW ETHANOL OF FLORIDA, L.C.",,1705 E MANN RD,BARTOW,FL,33830,POLK
FL-W-15001,"SCHNEBLY REDLAND'S WINERY, INC.",MIAMI BREWING COMPANY,30205 SW 217TH AVE,HOMESTEAD,FL,33030,MIAMI-DADE
FL-W-15003,JANIS L. MCKNIGHT,STRONG TOWER VINEYARD,17810 FORGE DR,SPRING HILL,FL,34610,PASCO
FL-W-15006,E SQUARED LLC,SOMETHING VINO,209 FERRY ST,FT WALTON BEACH,FL,32548,OKALOOSA
FL-W-15010,DAVID T. DACASTO & HESTER R. DACASTO,TANGLED OAKS VINEYARD,1317 SR 100,GRANDIN,FL,32138,PUTNAM
FL-W-15018,"TAMPA WINES, LLC",ASPIRATIONS WINERY,22041 US HWY 19,CLEARWATER,FL,33765,PINELLAS
FL-W-15021,LOG CABIN WINERY INC,LOG CABIN WINERY,376 COUNTY RD 309,SATSUMA,FL,32189,PUTNAM
FL-W-15024,"TIME TO MAKE WINE, INC",THE CAPE WINERY,912 SE 46TH LN,CAPE CORAL,FL,33904,LEE
FL-W-15025,COPP WINERY INC.,COPP WINERY,11 NE 4TH AVE,CRYSTAL RIVER,FL,34429,CITRUS
FL-W-15028,"SUNCOAST GIFTS, INC.",THE FLORIDA WINERY,12945 VILLAGE BLVD,MADEIRA BEACH,FL,33708,PINELLAS
FL-W-15030,"MIZKAN AMERICA, INC.",,445 N DAKOTA AVE,LAKE ALFRED,FL,33850,POLK
FL-W-15031,"HENSCRATCH FARMS, INC.",HENSCRATCH FARMS VINEYARD & WINERY,980 HENSCRATCH RD,LAKE PLACID,FL,33852,HIGHLANDS
FL-W-15034,JAMES DANIEL WOOD JR AND SALLY GALE WOOD,GRANDE RIDGE WINERY,7028 NE HWY 349,OLD TOWN,FL,32680,DIXIE
FL-W-15035,"KOLZE'S IN THE SPIRIT(S), INC.",,1070 WHITFIELD AVE,SARASOTA,FL,34243,MANATEE
FL-W-15037,PIT VENTURES LLC1,BIG CYPRESS WINERY,220 BASIK DR,NAPLES,FL,34114,COLLIER
FL-W-15038,ROYAL MANOR VINEYARD AND WINERY LLC,,224 ROYAL AVE,INTERLACHEN,FL,32148,PUTNAM
FL-W-15039,"CLASSIC CHEMICAL, LLC",WINEMAKING PANTRY,4571 CLARK RD,SARASOTA,FL,34233,SARASOTA
FL-W-15040,TWO LIONS WINERY LLC,TWO LIONS WINERY,2194 MAIN ST SUITE F,DUNEDIN,FL,34698,PINELLAS
FL-W-15045,DONNA J NOLDAN,COSY WINE CORNER & EMBROIDERY II,28750 S CARGO CT,BONITA SPRINGS,FL,34135,LEE
FL-W-15048,"OLD VINE, LLC",NAPLES WINEMAKING,1061 COLLIER CENTER WAY,NAPLES,FL,34110,COLLIER
FL-W-15049,"BUNKER HILL VINEYARD & WINERY, INC.",BUNKER HILL VINEYARD & WINERY,8905 BUNKER HILL RD,DUETTE,FL,34219,MANATEE
FL-W-15050,"THE GILDED GRAPE WINERY, INC.",GILDED GRAPE WINERY,"3796 TIAMIAMI TRL UNITS A, B",PORT CHARLOTTE,FL,33952,CHARLOTTE
FL-W-15052,"ISLAND GROVE WINERY, LLC",ISLAND GROVE WINERY,24703 SE 193 RD AVE,HAWTHORNE,FL,32640,ALACHUA
FL-W-15053,OLD OAKS VINEYARD LLC,,1536 WILL LEE RD,BONIFAY,FL,32425,HOLMES
FL-W-15054,BLUEFIELD ESTATE WINERY LLC,BLUEFIELD ESTATE WINERY,NOT PROVIDED,GAINESVILLE,FL,32641,ALACHUA
FL-W-15055,"OAK HAVEN WINERY, LLC",OAK HAVEN WINERY,32418 AVINGTON RD,SORRENTO,FL,32776,LAKE
FL-W-15056,CATANIA'S WINERY LLC,CATANIA'S WINERY,524 PAUL MORRIS DR UNIT B,ENGLEWOOD,FL,34223,SARASOTA
FL-W-15057,CARIBBEAN DISTILLERS LLC,FLORIDA DISTILLERS,425 RECKER HWY,AUBURNDALE,FL,33823,POLK
FL-W-15058,"YELLOW RIVER VINEYARDS, LLC",,4382 WILKERSON BLUFF RD,HOLT,FL,32564,OKALOOSA
FL-W-15060,SUNSHINE STATE MEADERY LLC,CIGAR CITY CIDER & MEAD,1812 E 15TH ST,TAMPA,FL,33605,HILLSBOROUGH
FL-W-15062,R U WORTHY LLC,IN THE MEAD TIME,4504 GEORGIA AVE,WEST PALM BEACH,FL,33405,PALM BEACH
FL-W-15063,LAND O LAKES WINERY LLC,LAND O LAKES WINERY,3901 LAND O LAKES BLVD,LAND O LAKES,FL,34639,PASCO
FL-W-15066,"CAVALLO ESTATE WINERY, LLC",CAVALLO ESTATE WINERY,8123 S LECANTO HWY,LECANTO,FL,34461,CITRUS
FL-W-20210,"BLACK HORSE WINERY, INC",BLACK HORSE WINERY,420 KINGSLEY AVE,ORANGE PARK,FL,32073,CLAY
FL-W-20398,"SUMMER CRUSH VINEYARD & WINERY, LLC",ENDLESS SUMMER VINEYARD & WINERY,4200 JOHNSTON RD,FT. PIERCE,FL,34951,ST. LUCIE
FL-W-21001,"H & F BLUEBERRY FARM, INC.",TRUE BLUE WINERY,604 PINK APARTMENT RD,DAVENPORT,FL,33837,POLK
FL-W-21002,"FLAGLER BEACHFRONT WINERY, INC.",,611 N OCEANSHORE BLVD,FLAGLER BEACH,FL,32136,
FL-W-21003,"JD WINE CONCEPTS, LLC",,1312 WILFRED DR,ORLANDO,FL,32803,ORANGE
FL-W-21004,"SOUTHERN BREWING & WINEMAKING, INC.",,4500 N NEBRASKA AVE,TAMPA,FL,33603,HILLSBOROUGH
FL-W-21005,"SONS & DAUGHTERS, INC.",SONS AND DAUGHTERS FARM,7001 LANTANA RD,LAKE WORTH,FL,33467,PALM BEACH
FL-W-21006,"COUNTRYSIDE VINEYARD, LLC",COUNTRYSIDE VINEYARD,22595 N HIGHWAY 441,MICANOPY,FL,32667,MARION COUNTY FL
FL-W-21007,"THE CORKSCREW WINERY, LLC",,16 SW BROADWAY ST STE A,OCALA,FL,34471,MARION
FL-W-21010,CAPORASO WINES LLC,,1525 SE PRATT ST,PORT SAINT LUCIE,FL,34983,SAINT LUCIE
FL-W-21011,FIDDLERS RIDGE FARMS INC.,,1750 LONGLEAF BLVD CONDO 4,LAKE WALES,FL,33859,POLK
FL-W-21013,"DE LUNA WINE, INC.",DE LUNA WINE,403 W BURGESS RD,PENSACOLA,FL,32503,ESCAMBIA
FL-W-21014,THOMAS LACHNER,SMOKING ABBOT MEADRY,25110 BERNWOOD DR UNIT 106,BONITA SPRINGS,FL,34135,
FL-W-21016,"BLACK FOX MEADERY, INC.",,1688 ALTERNATE 19 UNIT 1684,PALM HARBOR,FL,34683,PINELLAS
FL-W-21017,WINE STREAM INC,,5705 W SLIGH AVE,TAMPA,FL,33634,
FL-W-21019,ANDY WINERY INC,ANDY WINERY,6520 W 20TH AVE UNIT 1,HIALEAH,FL,33016,
FL-W-21020,"ACCOMPLICE BREWERY, LLC",THE ACCOMPLICE CIDER WORKS,1027 N FLORIDA MANGO RD STE 4,WEST PALM BEACH,FL,33409,PALM BEACH
FL-W-21021,ODD ELIXIR LLC,,109 KENSINGTON RD,DELAND,FL,32724,VOLUSIA
FL-W-21022,"SUE BEA VINEYARDS, INC.",DRAGON FLOWER WINERY,11025 SE HIGHWAY 42,SUMMERFIELD,FL,34491,MARION
FL-W-21023,BACKYARD BARN WINERY AND MICROBREWERY LLC,BACKYARD BARN WINERY,1945 E COUNTY ROAD 462,WILDWOOD,FL,34785,SUMTER
FL-W-21024,"PRIMOSO, INC",VINO RUSTICO,13688 WALSINGHAM RD,LARGO,FL,33774,PINELLAS
FL-W-21025,GREEN BENCH BREWING CO. LLC,,"1133 BAUM AVE, N.",SAINT PETERSBURG,FL,33705,PINELLAS
FL-W-21026,"G.M.L. ENTERPRISES, L.L.C",ZOVIN,6658 175TH DR,LIVE OAK,FL,32060,SUWANNEE
FL-W-21028,BROSKI CIDERWORKS LLC,,1405 SW 6TH CT STE 1465,POMPANO BEACH,FL,33069,
FL-W-21029,"HARRIS MEADERY, LLC",HARRIS MEADERY,627 LAUREL GROVE LN,ORANGE PARK,FL,32073,CLAY
FL-W-21030,D&S BLUEBERRIES INC,MASARYK WINERY,19125 PHILLIPS RD,MASARYKTOWN,FL,34604,HERNANDO
FL-W-21031,ETONIAH CREEK WINERY LLC,,162 WILKINSON RD,PALATKA,FL,32177,PUTNAM
FL-W-21032,"BREW HUB, LLC","BREW HUB, LLC",3900 S FRONTAGE RD BLDG 700,LAKELAND,FL,33815,
FL-W-21033,"WICKED BARLEY BREWING COMPANY, LLC",,4100 BAYMEADOWS RD,JACKSONVILLE,FL,32217,DUVAL
FL-W-21034,KEYS' MEADS LLC,,99411 OVERSEAS HWY UNIT 6,KEY LARGO,FL,33037,MONROE
FL-W-21035,"SLEEPY HILL BLUES, LLC",SLEEPY HILL WINERY,2601 SLEEPY HILL ROAD,LAKELAND,FL,33810,POLK
FL-W-21036,"THE WINE FACTORY, INC.",,9200 66TH ST,PINELLAS PARK,FL,33782,USA
FL-W-21037,BUGNUTTY BREWING COMPANY LLC,BUGNUTTY CIDERS & MEADS,715-717 N COURTENAY PKWY,MERRITT ISLAND,FL,32953,BREVARD
FL-W-21038,GRAVITY X LLC,GRAVITY X,3045 N FEDERAL HWY STE 60G,FORT LAUDERDALE,FL,33306,BROWARD
FL-W-21039,"GARAGISTE MEADERY, LLC",GARAGISTE MEADERY,1506 N FLORIDA AVE,TAMPA,FL,33602,HILLSBOROUGH
FL-W-21040,SOKOL VINEYARDS LLC,SOKOL VINEYARDS,9750 NW 160TH AVE,MORRISTON,FL,32668,MARION
FL-W-21042,"CHATEAU FABRY, LLC",,8452 HACKNEY PRAIRIE RD,ORLANDO,FL,32818,ORANGE
FL-W-21043,SWAN NECK WINERY INC,SWAN NECK WINERY INC,390 HANCOCK LN,PENSACOLA,FL,32503,ESCAMBIA
FL-W-21045,SOKOL VINEYARDS LLC,,101 E SILVER SPRINGS BLVD STE 102,OCALA,FL,34471,MARION
FL-W-21047,BACCHUS WINES LLC,,220 IDA BLVD,INTERLACHEN,FL,32148,PUTNAM
FL-W-21048,MARKER 48 BREWING LLC,MARKER 48 BREWING,12147 CORTEZ BLVD,BROOKSVILLE,FL,34613,HERNANDO
FL-W-21050,HUCKLEBERRY MOON LLC,CROOKED ROOSTER BREWERY,1478 S SIXTH ST,MACCLENNY,FL,32063,BAKER
FL-W-21051,PIERCED CIDERWORKS INC,,411 N 2ND ST,FORT PIERCE,FL,34950,
FL-W-21053,PETER IMPELLIZERI,IMPELLIZERI WINE,690 RIVERWOODS TRL,CHULUOTA,FL,32766,SEMINOLE
FL-W-21054,"HALPATTER BREWING, LLC",HALPATTER BREWING CO.,264 NE HERNANDO AVE,LAKE CITY,FL,32055,COLUMBIA
FL-W-21055,PANKAUSKI CELLARS LLC,PALM BEACH WINERY,332 EVERNIA ST,WEST PALM BEACH,FL,33401,PALM BEACH
FL-W-21057,"CONGAREE AND PENN FARM CIDER, LLC",,11830 OLD KINGS RD UNIT 2,JACKSONVILLE,FL,32219,DUVAL
FL-W-21060,"BEAT CULTURE BREWING COMPANY, LLC",,7250 NW 11TH ST,MIAMI,FL,33126,MIAMI-DADE
FL-W-21061,CRAFT SPIRITS BROKERS LLC,,11530 PROSPEROUS DR,ODESSA,FL,33556,
FL-W-21062,"MIAMI BEER VENTURES, LLC",VEZA SUR BREWING CO.,55 NW 25TH ST,MIAMI,FL,33127,
FL-W-21063,"THE POINT DISTILLERY, LLC",,11807 LITTLE RD,NEW PORT RICHEY,FL,34654,
FL-W-21064,DE VINCO COMPANY,DE VINCO COMPANY,435 CANNING PLANT RD,SEFFNER,FL,33584,SEFFNER
FL-W-21065,SLIM PICKENS WORK GROUP LLC,,521 COMMERCE DR S,LARGO,FL,33770,PINELLAS
FL-W-21067,"MAESTRO WINERY, LLC",MAESTRO WINERY,213 W KING ST,ST. AUGUSTINE,FL,32084,ST. JOHNS
FL-W-21068,BOOTLEGGERS BREWWORX LLC,BOOTLEGGERS BREWING CO.,10256 CAUSEWAY BLVD,TAMPA,FL,33619,HILLSBOROUGH
FL-W-21069,"GARY'S BREW, INC.",WANDERING OAKS WINERY,208 NEWMAN AVE,PENSACOLA,FL,32507,ESCAMBIA
FL-W-21070,SEA GARDEN CORP,SEA GARDEN WINES,2480 E BAY DR STE 31,LARGO,FL,33771,PINELLAS
FL-W-21071,"SIDEWARD BREWING COMPANY, LLC",SIDEWARD BREWING CO.,210 N BUMBY AVE STE C,ORLANDO,FL,32803,ORANGE
FL-W-21073,"BOLD CITY DOWNTOWN, LLC",,109 E BAY ST,JACKSONVILLE,FL,32202,DUVAL
FL-W-21074,TROPICAL WINERY LLC,TROPICAL WINERY,2678 US 27 S,LAKE PLACID,FL,33852,HIGHLANDS
FL-W-21075,"SECRET GARDENS WINERY & FARM, INC.",,420 BETHEA LN,SEBRING,FL,33875,HIGHLANDS
FL-W-21076,"RABBIT HOLE BREW STATION, INC.",,7550 PRUITT RESEARCH RD,FORT PIERCE,FL,34945,ST. LUCIE
FL-W-21077,BROOKSTONE WINES LLC,,15 N MAIN ST STE D & E,BROOKSVILLE,FL,34601,HERNANDO
FL-W-21078,"COLEVET, LLC",BAYBORO BREWING CO.,2390 5TH AVE S,ST. PETERSBURG,FL,33712,PINELLAS
FL-W-21079,BRIX & MORTAR INC.,BRIX & MORTAR,117 S PALMETTO AVE,SANFORD,FL,32771,SEMINOLE
FL-W-21080,"LAKE SENECA FARMS, LLC",,36047 E LAKE SENECA RD,EUSTIS,FL,32736,LAKE
FL-W-21081,"GRAND CENTRAL BREWHOUSE, LLC",GRAND CENTRAL BREWHOUSE,2340 CENTRAL AVE,SAINT PETERSBURG,FL,33712,PINELLAS
FL-W-21082,"ALAFIA BREWING COMPANY, LLC",,11022 S 41 HWY BLDG 11106,GIBSONTON,FL,33578,HILLBOROUGH
FL-W-21083,"FRAZIER'S COUNTRY WINE, LLC",FRAZIER'S COUNTRY WINES,3130 BARRANCAS AVE,PENSACOLA,FL,32503,ESCAMBIA
FL-W-21084,"PURPOSE BREWED, LLC",HISTORY CLASS BREWING COMPANY,6 E 4TH ST,PANAMA CITY,FL,32401,BAY
FL-W-21085,ROCKPIT BREWING LLC,ROCKPIT BREWING,10 W ILLIANA ST,ORLANDO,FL,32806,USA
FL-W-21086,"HOP LIFE \""LLC""",HOPLIFE BREWING COMPANY,679 NW ENTERPRISE DR CONDO 101,PORT ST LUCIE,FL,34986,ST. LUCIE
FL-W-21087,GATLIN HALL BREWING LLC,GATLIN HALL BREWING,4721 S ORANGE AVE,ORLANDO,FL,32806,
FL-W-21088,"SWAN BREWING, LLC",SWAN BREWING,2972 LAKELAND HIGHLANDS RD,LAKELAND,FL,33803,POLK
FL-W-21089,"THE JOINERY, LLC",THE JOINERY,640 E MAIN ST,LAKELAND,FL,33801,POLK
FL-W-21090,"KING MAKER, LLC",KING MAKER BREWING,720 KING ST,JACKSONVILLE,FL,32204,
FL-W-21091,THREE FOURTEENTHS VENTURES LLC,PYE ROAD MEADWORKS,8533 GUNN HWY,ODESSA,FL,33556,HILLSBOROUGH
FL-W-21092,COMMERCE BREWING LLC,,521 S COMMERCE DR,LARGO,FL,33770,PINELLAS
FL-W-21093,COASTAL COUNTY BREWING COMPANY LLC,COASTAL COUNTY BREWING COMPANY,3041 E OLIVE RD,PENSACOLA,FL,32514,USA
FL-W-21094,"ROSSLETT ENTERPRISES, LLC",BASTET BREWING,1951 E ADAMO DR STE B,TAMPA,FL,33605,HILLSBOROUGH
FL-W-21095,"BELLABLUE BERRY FARM, INC.",,43405 S.R. 64E,MYAKKA CITY,FL,34251,
FL-W-21097,"FRIO DISTRIBUTORS, INC.",ICE POP FACTORY,1406 MERCANTILE CT,PLANT CITY,FL,33563,HILLSBOROUGH
FL-W-21098,"ONCE UPON A VINE, LLC","ONCE UPON A VINE, LLC",13185 SPRING HILL DR,SPRING HILL,FL,34609,HERNANDO
FL-W-21099,"SB INVESTING, LLC",DA CRAB SHACK,1850 W BLUE HERON BLVD UNIT 2,RIVIERA BEACH,FL,33404,PALM BEACH
FL-W-21100,"ENGLISH BROWN WINERY, LLC",,928 N FEDERAL HWY,HOLLYWOOD,FL,33020,BRPWARD
FL-W-21101,COPPERTAIL BREWING CO LLC,COPPERTAIL BREWING CO,2601 E 2ND AVE,TAMPA,FL,33605,
FL-W-21102,SUNKEN GROVE LLC,SUNKEN GROVE,2601 E 2ND AVE,TAMPA,FL,33605,HILLSBOROUGH
FL-W-21103,BREWERS BANE LLC,DADE CITY BREWHOUSE,14323 7TH ST,DADE CITY,FL,33523,PASCO
FL-W-21104,NUESTRA CEIBA LLC,CEIBA,4221 SW 75TH AVE UNIT 4233,MIAMI,FL,33155,MIAMI-DADE
FL-W-21105,GRAPE EXPECTATIONS LLC,GRAPE EXPECTATIONS,4930 FLORAMAR TER C,NEW PORT RICHEY,FL,34652,PASCO
FL-W-21106,"ATWA ENTERPRISES, LLC",CORKSCREW WINERY & BREWERY,16 SW BROADWAY,OCALA,FL,34471,MARION
